ID,Name,Straße,Hausnummer,PLZ,Ort,Breitengrad,Längengrad,Telefon,Email,Website,Rabatt,Kategorie
,SIGENA St. Johannis,Johannisstraße,165,90419,Nürnberg,49.4614126,11.0507363,0911/30003149,sigena@diakoneo.de,https://www.ambulantepflege-nuernberg.de/standorte/sigena-st-johannis/,Mittagstisch für Senioren -  Dienstag 12:00-13:00 Uhr -  2 € - Anmeldung bis Freitag 12:00 Uhr,10
,SIGENA-Treff Nordostbahnhof,Plauener Str.,7,90491,Nürnberg,49.4704749,11.1119224,0911/5192779,,https://www.kvnuernberg-stadt.brk.de/angebote/senioren/sigena-stuetzpunkt-nordostbahnhof.html,"Mittagstisch für Senioren -  Dienstag, Mittwoch und Donnerstag 12:00-13:00 Uhr -  1,50 € - Anmeldung bis Anmeldung bis jeweils einen Tag vorher 12 Uhr.",10
,Spielzeugmuseum,Karlstr.,13-15,90403,Nürnberg,49.4540736,11.0744981,0911/2313164,,https://museen.nuernberg.de/spielzeugmuseum/,"Eintritt: 1,50 € - altersunabhängig",12
,St. Johannis Apotheke,Burgschmietstr.,54,90419,Nürnberg,49.4585334,11.065718,0911/330056,damm@sankt-johannis-apotheke.de,http://www.sankt-johannis-apotheke.de/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",15
,"Staatstheater Nürnberg: Opernhaus, Schauspielhaus, Kammerspiele, BlueBox",Richard-Wagner-Platz,2-10,90443,Nürnberg,49.4462455,11.0766789,0911/2313575,,https://www.staatstheater-nuernberg.de/,50 % Ermäßigung auf die Tageskassenpreise,14
,Stadtbibliothek,Gewerbemuseumsplatz,4,90403,Nürnberg,49.4518635,11.0827107,0911/2312790,,https://www.nuernberg.de/internet/stadtbibliothek/,"Jahresgebühr ermäßigt 7,50 € - Für Kinder und Jugendliche bis einschließlich 17 Jahre frei",13
,Stadtbibliothek Maxfeld,Maxfeldstraße,27,90409,Nürnberg,49.4617067,11.084754260320988,0911/2312460,,https://www.nuernberg.de/internet/stadtbibliothek/maxfeld.html,"Jahresgebühr ermäßigt 7,50 € - Für Kinder und Jugendliche bis einschließlich 17 Jahre frei",13
,Stadtmuseum Fembohaus,Burgstr.,15,90403,Nürnberg,49.4565618,11.077059171395348,0911/2312595,,https://museen.nuernberg.de/fembohaus/,"Eintritt: 1,50 € - altersunabhängig",12
,Stiftung Mittelfränkisches Blindenheim,Bielefelder Str.,45,90425,Nürnberg,49.466359999999995,11.054110982949869,0911/39578943,leitung(at)mfr-blindenheim.de,https://mfr-blindenheim.de/,,9
,Straßenkreuzer e.V.,Maxplatz,7,90403,Nürnberg,49.4539937,11.072982,0911/2175930,mail@strassenkreuzer.info,https://www.strassenkreuzer.info/,„Schicht-Wechsel“ (Stadtführungen): kostenfrei,12
,Studio No1.,Albertstr.,4,90478,Nürnberg,49.4462551,11.1040115,0911/471518,info@studio-no1.de,https://www.studio-no1.de/,"Kinder und Jugendliche im Alter von 3 bis 17 Jahren - Ballett, Dance-Kids, Dance-Teens, Kreativer Kindertanz - 10% Ermäßigung auf den monatlichen Mitgliedsbeitrag für Kurse - Wegfall der Aufnahmegebühr in Höhe von aktuell  40,-€",17
,Südpunkt Forum für Bildung und Kultur,Pillenreuther Str.,147,90459,Nürnberg,49.4314198,11.0872256,0911/23114300,nur Kontaktformular,https://www.nuernberg.de/internet/suedpunkt/,"Angebote der Stadtbibliothek, des Bildungszentrums und des Amts für Kultur und Freizeit -  Vergünstigungen",12
,Tafelhalle,Äußere Sulzbacher Str.,62,90491,Nürnberg,49.4613125,11.111861230702381,0911/2314000,nur Kontaktformular,https://www.kunstkulturquartier.de/tafelhalle/,50 % Ermäßigung,14
,Tanzfabrik Julia Kempken,Vordere Cramergasse,11,90478,Nürnberg,49.4475855,11.1019406,0911/402213,info@tanzfabrik-nuernberg.de,https://www.tanzfabrik-nuernberg.de/,50% Ermäßigung bei regulären Kursen und Workshops,17
,Theater Mummpitz,Michael- Ende- Str.,17,90439,Nürnberg,49.4427601,11.0522359,0911/600050,info@theater-mummpitz.de,https://www.theater-mummpitz.de/,20 % Ermäßigung,14
,"Theater Pfütze, Musiktheater die junge MET",Äußerer Laufer Platz,22,90403,Nürnberg,49.4566175,11.087638178189927,0911/270790,hallo@theater-pfuetze.de,https://www.theater-pfuetze.de/,Pfütze Schauspiel Kinder 6 €  -   Erwachsene 7 € - Pfütze jungeMET frei,14
,"Theater rote Bühne, Kulturverein rote Bühne e.V.",Vordere Cramergasse,11,90478,Nürnberg,49.4475855,11.1019406,0911/402213,info@rote-buehne.com,https://www.rote-buehne.de/,Eingang E-Bau TH 9 / UG. Freier Eintritt an der Abendkasse (sofern die Vorstellung nicht ausverkauft ist),14
,Theater Salz+Pfeffer,Frauentorgraben,73,90443,Nürnberg,49.4471486,11.0683278,0911/224388,salz@pfeffertheater.de,https://www.salzundpfeffer-theater.de/start.html,"Abendprogramm und Kinderprogramm Ermäßigung: 1,50 - 5 €, je nach Vorstellung",14
,Theresien-Apotheke,Mommsenstr.,51,90491,Nürnberg,49.4701476,11.1073791,0911/511736,kontakt@ihre-theresienapotheke.de,http://ihre-theresienapotheke.de/t/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",15
,Tiergarten Nürnberg,Am Tiergarten,30,90480,Nürnberg,49.450316799999996,11.139316102945546,0911/54546,nur Kontaktformular,https://tiergarten.nuernberg.de/startseite.html,"Erwachsene  7,00€  -  Kinder 4 – 17 Jahre:   3,80 €",12
,Tucherschloss mit Hirsvogelsaal,Hirschelgasse,9-11,90403,Nürnberg,49.457366,11.0848015,0911/2318355,,https://museen.nuernberg.de/tucherschloss/,"Eintritt: 1,50 € - altersunabhängig",12
,Turm der Sinne,Spittlertorgraben,45,90429,Nürnberg,49.4520251,11.0679594,0911/443281,info@philoscience.de,https://philoscience.de/turmdersinne/,20 % Ermäßigung,12
,Umzüge,Hauptmarkt,1,90403,Nürnberg,49.4530786,11.0765086,0221/9331920,kundenservice@jobruf.de,https://www.jobruf.de/umzugshelfer-nuernberg.html,Studentische Umzugshelfer zu fairen Konditionen - 50% Rabatt auf die Vermittlungspauschale. Ein Foto des Nürnberg-Passes  an kundenservice@jobruf.de schicken und  einen Gutschein erhalten.,9
,Verkehrs-Aktiengesellschaft,Bahnhofsplatz,9u,90443,Nürnberg,49.4459599,11.0805896,0911/2834646,nur Kontaktformular,https://www.vag.de/,"Monatsmarke: 15 €
Das Monatsticket Solo 31 mit Nürnberg Pass gilt 31 Tage ab Kauf rund um die Uhr. Gilt im Stadtgebiet Nürnberg/Fürth
U-Bahn, Straßenbahn, Busse",18
,Villa Leon,Philipp-Körber-Weg,1,90439,Nürnberg,49.4432347,11.054246,0911/2317400,nur Kontaktformular,https://www.nuernberg.de/internet/kuf_kultur/villa_leon.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung",12
,Vischers Kulturladen,Hufelandstr.,4,90419,Nürnberg,49.4644943,11.0664802,0911/2314142,nur Kontaktformular,https://www.nuernberg.de/internet/kuf_kultur/vischers_kulturladen.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung",12
